timestamp,gas_ppm
2026-06-09 18:38:58,0.0
2026-06-09 18:39:02,0.0
2026-06-09 18:39:08,0.0
2026-06-09 18:39:11,0.0
2026-06-09 18:39:13,0.0
2026-06-09 18:39:16,0.0
2026-06-09 18:39:18,0.0
2026-06-09 18:39:22,0.0
2026-06-09 18:39:23,0.0
2026-06-09 18:39:26,0.0
2026-06-09 18:39:28,0.0
2026-06-09 18:39:31,0.0
2026-06-09 18:39:33,0.0
2026-06-09 18:39:37,0.0
2026-06-09 18:39:39,0.0
2026-06-09 18:39:42,0.0
2026-06-09 18:39:43,0.0
2026-06-09 18:39:47,0.0
2026-06-09 18:39:48,0.0
2026-06-09 18:39:52,0.0
2026-06-09 18:39:54,0.0
2026-06-09 18:39:57,0.0
2026-06-09 18:39:59,0.0
2026-06-09 18:40:02,0.0
2026-06-09 18:40:04,0.0
2026-06-09 18:40:07,0.0
2026-06-09 18:40:09,0.0
2026-06-09 18:40:13,0.0
2026-06-09 18:40:14,0.0
2026-06-09 18:40:18,0.0
2026-06-09 18:40:19,0.0
2026-06-09 18:40:23,0.0
2026-06-09 18:40:24,0.0
2026-06-09 18:40:28,0.0
2026-06-09 18:40:29,0.0
2026-06-09 18:40:33,0.0
2026-06-09 18:40:34,0.0
2026-06-09 18:40:38,0.0
2026-06-09 18:40:39,0.0
2026-06-09 18:40:43,0.0
2026-06-09 18:40:44,0.0
2026-06-09 18:40:48,0.0
2026-06-09 18:40:50,0.0
2026-06-09 18:40:53,0.0
2026-06-09 18:40:55,0.0
2026-06-09 18:40:58,0.0
2026-06-09 18:41:00,0.0
2026-06-09 18:41:03,0.0
2026-06-09 18:41:05,0.0
2026-06-09 18:41:09,0.0
2026-06-09 18:41:10,0.0
2026-06-09 18:41:14,0.0
2026-06-09 18:41:15,0.0
2026-06-09 18:41:19,0.0
2026-06-09 18:41:20,0.0
2026-06-09 18:41:24,0.0
2026-06-09 18:41:25,0.0
2026-06-09 18:41:29,0.0
2026-06-09 18:41:31,0.0
2026-06-09 18:41:34,0.0
2026-06-09 18:41:36,0.0
2026-06-09 18:41:41,0.0
2026-06-09 18:41:46,0.0
2026-06-09 18:41:51,0.0
2026-06-09 18:41:56,0.0
2026-06-09 18:42:01,0.0
2026-06-09 18:42:06,0.0
2026-06-09 18:42:11,0.0
2026-06-09 18:42:16,0.0
2026-06-09 18:42:21,0.0
2026-06-09 18:42:27,0.0
2026-06-09 18:42:32,0.0
2026-06-09 18:42:37,0.0
2026-06-09 18:42:43,0.0
2026-06-09 18:42:47,0.0
2026-06-09 18:42:52,0.0
2026-06-09 18:42:57,0.0
2026-06-09 18:43:02,0.0
2026-06-09 18:43:07,0.0
2026-06-09 18:43:12,0.0
2026-06-09 18:43:17,0.0
2026-06-09 18:43:23,0.0
2026-06-09 18:43:28,0.0
2026-06-09 18:43:34,0.0
2026-06-09 18:43:38,0.0
